Title,Video url,Duration in minutes
Ed Sheeran - Perfect (Karaoke Version),https://www.youtube.com/watch?v=sPMA1tqWuf4,4.93
Frozen - Let It Go (Idina Menzel) (Karaoke Version),https://www.youtube.com/watch?v=ifCAfAzOBJM,3.98
John Legend - All of Me (Karaoke With Backing Vocals),https://www.youtube.com/watch?v=kr8wPkdHFA0,4.85
Celine Dion - My Heart Will Go On (Karaoke Version),https://www.youtube.com/watch?v=cdgU8YmD3Kc,5.68
Elvis Presley - Can't Help Falling In Love (Karaoke Version),https://www.youtube.com/watch?v=gd4mB-zUcO8,3.57
Lady Gaga - Always Remember Us This Way (Karaoke Version),https://www.youtube.com/watch?v=9sVKwwSvvLw,3.68
"Lady Gaga, Bradley Cooper - Shallow (A Star Is Born) (Karaoke Version)",https://www.youtube.com/watch?v=_nHT_k9Rswc,3.75
Christina Perri - A Thousand Years (Karaoke With Backing Vocals),https://www.youtube.com/watch?v=j1V33b2ZEIo,5.02
Billie Eilish - lovely (with Khalid) (Karaoke Version),https://www.youtube.com/watch?v=CGXeSUtbhFk,3.57
Lewis Capaldi - Someone You Loved (Karaoke Version),https://www.youtube.com/watch?v=0H3KpRuwBZ8,3.38
Lukas Graham - 7 Years (Karaoke Version),https://www.youtube.com/watch?v=ALq8ihw4pwU,4.27
Alexandra Burke - Hallelujah (Karaoke Version),https://www.youtube.com/watch?v=e3C8Nh3DIwA,3.93
Calum Scott - You Are The Reason (Karaoke Version),https://www.youtube.com/watch?v=zMcfZyb5wCo,3.77
Whitney Houston - I Have Nothing (Karaoke Version),https://www.youtube.com/watch?v=CS1Xf9hfUCk,5.38
Jessie J - Flashlight (Karaoke Version),https://www.youtube.com/watch?v=pdheWX4oO1A,3.65
Queen - Bohemian Rhapsody (Karaoke Version),https://www.youtube.com/watch?v=9Lxm0iSnKNc,6.25
Auli'i Cravalho - How Far I'll Go (Karaoke Version),https://www.youtube.com/watch?v=a5LOjg1EiAk,3.18
TONES & I - DANCE MONKEY (Karaoke Version),https://www.youtube.com/watch?v=an0JKXnnrAY,3.83
Ed Sheeran - Shape Of You (Karaoke Version),https://www.youtube.com/watch?v=o71_MatpYV0,4.3
Rihanna - Diamonds (Karaoke Version),https://www.youtube.com/watch?v=7DzQs7dpNL8,4.08
Alicia Keys - If I Ain't Got You (Karaoke Version),https://www.youtube.com/watch?v=M5Q0eiMzup0,4.37
Ed Sheeran - Photograph (Karaoke Version),https://www.youtube.com/watch?v=XpXe2mXmhp0,4.62
Ruth B - Lost Boy (Karaoke Version),https://www.youtube.com/watch?v=8R1xIYOwxRA,4.92
ABBA - Dancing Queen (Karaoke Version),https://www.youtube.com/watch?v=WHayJZ3eMcE,4.27
Sia - Chandelier (Karaoke Version),https://www.youtube.com/watch?v=b3iox_qUaUE,3.9
Justin Bieber ft. Ludacris - Baby (Karaoke Version),https://www.youtube.com/watch?v=1a5SWpp9Wfg,3.97
Sam Smith - I'm Not The Only One (Classic Karaoke Version),https://www.youtube.com/watch?v=XcZX89Z0nVA,4.28
The Greatest Showman - A Million Dreams (Karaoke Version),https://www.youtube.com/watch?v=3f2X_gIJ_u4,4.77
Billie Eilish - idontwannabeyouanymore (Karaoke Version),https://www.youtube.com/watch?v=DUWfL7U-StI,3.78
Billie Eilish - idontwannabeyouanymore (Karaoke Version),https://www.youtube.com/watch?v=DUWfL7U-StI,3.78
Ed Sheeran - Thinking Out Loud (Karaoke Version),https://www.youtube.com/watch?v=Dd9W3PthynU,4.92
Olivia Rodrigo - drivers license (Karaoke Version),https://www.youtube.com/watch?v=C3y6jGCXiUA,4.28
The Greatest Showman - Never Enough (Karaoke Version),https://www.youtube.com/watch?v=0nxmS92MiSM,3.82
Jason Mraz - I'm Yours (Karaoke Version),https://www.youtube.com/watch?v=kn8YiDSYcq4,4.45
Alicia Keys - Girl On Fire (Karaoke Version),https://www.youtube.com/watch?v=rSWHCZoX2mE,4.07
David Guetta ft. Sia - Titanium (Karaoke Version),https://www.youtube.com/watch?v=32LB2DR_JM0,4.23
Miley Cyrus - The Climb (Karaoke Version),https://www.youtube.com/watch?v=FL9Hcz85CGw,4.27
Meghan Trainor ft. John Legend - Like I'm Gonna Lose You (Karaoke Version),https://www.youtube.com/watch?v=mawPX4US1l4,3.98
Taylor Swift - Blank Space (Backing Track),https://www.youtube.com/watch?v=EuOp_2Zcr8E,4.2
James Arthur - Say You Won't Let Go (Karaoke Version),https://www.youtube.com/watch?v=jb2T4ZXL6R4,4.12
Taylor Swift - You Belong With Me (Backing Track),https://www.youtube.com/watch?v=5B_dHpwfBXE,4.22
Sia - Snowman (Karaoke Version),https://www.youtube.com/watch?v=WWu83Z4pqss,2.97
The Little Mermaid - Part Of Your World (Karaoke Version),https://www.youtube.com/watch?v=wnWKoEATxh8,3.77
Alan Walker - Faded (Karaoke Version),https://www.youtube.com/watch?v=xf5rgfur4gw,3.63
Imagine Dragons - Believer (Karaoke Version),https://www.youtube.com/watch?v=sfbCZw_c2Zs,3.75
Whitney Houston - I Will Always Love You (Karaoke Version),https://www.youtube.com/watch?v=8kotNQ07ZEw,5.07
Let Her Go  - Passenger (Karaoke Version),https://www.youtube.com/watch?v=Ug_OM0WzVmA,4.38
Radiohead - Creep (Karaoke Version),https://www.youtube.com/watch?v=3WLy3AblvmQ,4.3
Camila Cabello ft. Young Thug - Havana (Karaoke Version),https://www.youtube.com/watch?v=dd2nfgicFds,3.97
Adele - Make You Feel My Love (Karaoke Version),https://www.youtube.com/watch?v=x8SpSPBeeUE,3.7
Rihanna - Stay ft. Mikky Ekko (Karaoke Version),https://www.youtube.com/watch?v=bhGqtMsp0-w,4.27
"Anna Kendrick - Cups (Pitch Perfect's ""When I'm Gone) (Karaoke Version)",https://www.youtube.com/watch?v=mNL7iE-CxXA,2.68
P!nk ft. Nate Ruess - Just Give Me A Reason (Karaoke Version),https://www.youtube.com/watch?v=SJVH11MFY7I,4.37
"Luis Fonsi, Daddy Yankee ft. Justin Bieber - Despacito (Karaoke Version)",https://www.youtube.com/watch?v=jRpDuEgqQQQ,4.37
Daniel Caesar ft. H.E.R. - Best Part (Karaoke Version),https://www.youtube.com/watch?v=otKYi0rYYx8,3.78
Jessie J ft. B.o.B - Price Tag (Karaoke Version),https://www.youtube.com/watch?v=hyB4iyq2tmw,4.1
Backstreet Boys - I Want It That Way (Karaoke Version),https://www.youtube.com/watch?v=NxilU56kPu0,4.2
Kelly Clarkson - Because Of You (Karaoke Version),https://www.youtube.com/watch?v=WWJyJGY1T2M,4.03
The Cranberries - Zombie (Karaoke Version),https://www.youtube.com/watch?v=m8CEEkqQiiY,5.28
Frank Sinatra - My Way (Karaoke Version),https://www.youtube.com/watch?v=tAEek8nO11c,4.88
Adele - Someone Like You (Karaoke Version),https://www.youtube.com/watch?v=BPRoNqB2XK8,5.03
Taylor Swift - Love Story (Backing Track),https://www.youtube.com/watch?v=ZqY3eONjX5k,4.25
Lionel Richie - Stuck On You (Karaoke Version),https://www.youtube.com/watch?v=s8CszZUic4w,3.45
